lr_group_0,lr_group_1,step,valid-uas_macro_f1,valid-uas_micro_f1,valid-las_macro_f1,valid-las_micro_f1,epoch,train-loss_arc,train-loss_type,train-loss
1.0638297872340427e-06,1.0638297872340427e-06,0,,,,,,,,
2.1276595744680853e-06,2.1276595744680853e-06,1,,,,,,,,
3.1914893617021277e-06,3.1914893617021277e-06,2,,,,,,,,
4.255319148936171e-06,4.255319148936171e-06,3,,,,,,,,
5.319148936170213e-06,5.319148936170213e-06,4,,,,,,,,
6.3829787234042555e-06,6.3829787234042555e-06,5,,,,,,,,
7.446808510638298e-06,7.446808510638298e-06,6,,,,,,,,
,,6,7.959913730621338,11.395027160644531,1.3286384344100952,1.450276255607605,0,,,
8.510638297872341e-06,8.510638297872341e-06,8,,,,,,,,
9.574468085106383e-06,9.574468085106383e-06,9,,,,,,,,
1.0638297872340426e-05,1.0638297872340426e-05,10,,,,,,,,
1.170212765957447e-05,1.170212765957447e-05,11,,,,,,,,
1.2765957446808511e-05,1.2765957446808511e-05,12,,,,,,,,
1.3829787234042554e-05,1.3829787234042554e-05,13,,,,,,,,
1.4893617021276596e-05,1.4893617021276596e-05,14,,,,,,,,
,,13,10.42580509185791,15.331491470336914,0.16746912896633148,0.5524861812591553,0,,,
1.595744680851064e-05,1.595744680851064e-05,16,,,,,,,,
1.7021276595744682e-05,1.7021276595744682e-05,17,,,,,,,,
1.8085106382978724e-05,1.8085106382978724e-05,18,,,,,,,,
1.9148936170212766e-05,1.9148936170212766e-05,19,,,,,,,,
2.0212765957446807e-05,2.0212765957446807e-05,20,,,,,,,,
2.1276595744680852e-05,2.1276595744680852e-05,21,,,,,,,,
2.2340425531914894e-05,2.2340425531914894e-05,22,,,,,,,,
,,20,10.526331901550293,15.469613075256348,0.16687525808811188,0.5524861812591553,0,,,
2.340425531914894e-05,2.340425531914894e-05,24,,,,,,,,
2.446808510638298e-05,2.446808510638298e-05,25,,,,,,,,
2.5531914893617022e-05,2.5531914893617022e-05,26,,,,,,,,
2.6595744680851064e-05,2.6595744680851064e-05,27,,,,,,,,
2.765957446808511e-05,2.765957446808511e-05,28,,,,,,,,
2.8723404255319154e-05,2.8723404255319154e-05,29,,,,,,,,
2.9787234042553192e-05,2.9787234042553192e-05,30,,,,,,,,
,,27,12.336146354675293,17.67955780029297,2.0915467739105225,5.80110502243042,0,,,
3.085106382978723e-05,3.085106382978723e-05,32,,,,,,,,
3.191489361702128e-05,3.191489361702128e-05,33,,,,,,,,
3.2978723404255317e-05,3.2978723404255317e-05,34,,,,,,,,
3.4042553191489365e-05,3.4042553191489365e-05,35,,,,,,,,
3.5106382978723407e-05,3.5106382978723407e-05,36,,,,,,,,
3.617021276595745e-05,3.617021276595745e-05,37,,,,,,,,
3.723404255319149e-05,3.723404255319149e-05,38,,,,,,,,
,,34,12.057251930236816,18.439226150512695,3.2859575748443604,6.69889497756958,0,,,
3.829787234042553e-05,3.829787234042553e-05,40,,,,,,,,
3.936170212765958e-05,3.936170212765958e-05,41,,,,,,,,
4.0425531914893614e-05,4.0425531914893614e-05,42,,,,,,,,
4.148936170212766e-05,4.148936170212766e-05,43,,,,,,,,
4.2553191489361704e-05,4.2553191489361704e-05,44,,,,,,,,
4.3617021276595746e-05,4.3617021276595746e-05,45,,,,,,,,
4.468085106382979e-05,4.468085106382979e-05,46,,,,,,,,
,,41,12.35615062713623,19.12983512878418,4.715290546417236,8.356353759765625,0,,,
4.574468085106383e-05,4.574468085106383e-05,48,,,,,,,,
4.680851063829788e-05,4.680851063829788e-05,49,,,,,,,,
4.787234042553192e-05,4.787234042553192e-05,50,,,,,,,,
4.893617021276596e-05,4.893617021276596e-05,51,,,,,,,,
5e-05,5e-05,52,,,,,,,,
4.98814463544754e-05,4.98814463544754e-05,53,,,,,,,,
4.9762892708950804e-05,4.9762892708950804e-05,54,,,,,,,,
,,48,19.41131019592285,25.0,6.585769176483154,12.776243209838867,0,,,
4.96443390634262e-05,4.96443390634262e-05,56,,,,,,,,
,,49,,,,,0,2.311908721923828,1.327521800994873,3.639430522918701
4.9525785417901606e-05,4.9525785417901606e-05,58,,,,,,,,
4.9407231772377e-05,4.9407231772377e-05,59,,,,,,,,
4.928867812685241e-05,4.928867812685241e-05,60,,,,,,,,
4.91701244813278e-05,4.91701244813278e-05,61,,,,,,,,
4.90515708358032e-05,4.90515708358032e-05,62,,,,,,,,
4.89330171902786e-05,4.89330171902786e-05,63,,,,,,,,
,,55,25.390024185180664,30.248619079589844,9.30998420715332,16.22928237915039,0,,,
4.8814463544754004e-05,4.8814463544754004e-05,65,,,,,,,,
4.86959098992294e-05,4.86959098992294e-05,66,,,,,,,,
4.8577356253704806e-05,4.8577356253704806e-05,67,,,,,,,,
4.84588026081802e-05,4.84588026081802e-05,68,,,,,,,,
4.834024896265561e-05,4.834024896265561e-05,69,,,,,,,,
4.8221695317131005e-05,4.8221695317131005e-05,70,,,,,,,,
4.81031416716064e-05,4.81031416716064e-05,71,,,,,,,,
,,62,30.8791561126709,39.50276184082031,12.962137222290039,24.930938720703125,0,,,
4.7984588026081806e-05,4.7984588026081806e-05,73,,,,,,,,
4.7866034380557204e-05,4.7866034380557204e-05,74,,,,,,,,
4.774748073503261e-05,4.774748073503261e-05,75,,,,,,,,
4.7628927089508e-05,4.7628927089508e-05,76,,,,,,,,
4.75103734439834e-05,4.75103734439834e-05,77,,,,,,,,
4.73918197984588e-05,4.73918197984588e-05,78,,,,,,,,
4.7273266152934205e-05,4.7273266152934205e-05,79,,,,,,,,
,,69,36.81071090698242,48.3425407409668,18.695207595825195,33.494476318359375,0,,,
4.71547125074096e-05,4.71547125074096e-05,81,,,,,,,,
4.7036158861885006e-05,4.7036158861885006e-05,82,,,,,,,,
4.6917605216360404e-05,4.6917605216360404e-05,83,,,,,,,,
4.679905157083581e-05,4.679905157083581e-05,84,,,,,,,,
4.6680497925311206e-05,4.6680497925311206e-05,85,,,,,,,,
4.656194427978661e-05,4.656194427978661e-05,86,,,,,,,,
4.644339063426201e-05,4.644339063426201e-05,87,,,,,,,,
,,76,40.21756362915039,52.900550842285156,21.07817268371582,39.98618698120117,0,,,
4.6324836988737405e-05,4.6324836988737405e-05,89,,,,,,,,
4.620628334321281e-05,4.620628334321281e-05,90,,,,,,,,
4.6087729697688206e-05,4.6087729697688206e-05,91,,,,,,,,
4.5969176052163604e-05,4.5969176052163604e-05,92,,,,,,,,
4.5850622406639e-05,4.5850622406639e-05,93,,,,,,,,
4.5732068761114405e-05,4.5732068761114405e-05,94,,,,,,,,
4.56135151155898e-05,4.56135151155898e-05,95,,,,,,,,
,,83,49.17776107788086,60.63536071777344,27.702585220336914,47.85911560058594,0,,,
4.549496147006521e-05,4.549496147006521e-05,97,,,,,,,,
4.5376407824540605e-05,4.5376407824540605e-05,98,,,,,,,,
4.525785417901601e-05,4.525785417901601e-05,99,,,,,,,,
4.5139300533491406e-05,4.5139300533491406e-05,100,,,,,,,,
4.502074688796681e-05,4.502074688796681e-05,101,,,,,,,,
4.490219324244221e-05,4.490219324244221e-05,102,,,,,,,,
4.478363959691761e-05,4.478363959691761e-05,103,,,,,,,,
,,90,50.37964630126953,65.12430572509766,27.825077056884766,51.24309539794922,0,,,
4.466508595139301e-05,4.466508595139301e-05,105,,,,,,,,
4.454653230586841e-05,4.454653230586841e-05,106,,,,,,,,
4.4427978660343805e-05,4.4427978660343805e-05,107,,,,,,,,
4.430942501481921e-05,4.430942501481921e-05,108,,,,,,,,
4.4190871369294606e-05,4.4190871369294606e-05,109,,,,,,,,
4.4072317723770004e-05,4.4072317723770004e-05,110,,,,,,,,
4.395376407824541e-05,4.395376407824541e-05,111,,,,,,,,
,,97,46.98173904418945,61.602210998535156,27.596786499023438,50.552486419677734,0,,,
4.3835210432720805e-05,4.3835210432720805e-05,113,,,,,,,,
4.371665678719621e-05,4.371665678719621e-05,114,,,,,,,,
,,99,,,,,0,1.109026551246643,0.7608166337013245,1.8698432445526123
4.359810314167161e-05,4.359810314167161e-05,116,,,,,,,,
4.347954949614701e-05,4.347954949614701e-05,117,,,,,,,,
4.336099585062241e-05,4.336099585062241e-05,118,,,,,,,,
4.324244220509781e-05,4.324244220509781e-05,119,,,,,,,,
4.312388855957321e-05,4.312388855957321e-05,120,,,,,,,,
,,104,60.17211151123047,73.75690460205078,34.224029541015625,60.77347946166992,0,,,
4.3005334914048615e-05,4.3005334914048615e-05,122,,,,,,,,
4.2886781268524005e-05,4.2886781268524005e-05,123,,,,,,,,
4.276822762299941e-05,4.276822762299941e-05,124,,,,,,,,
4.264967397747481e-05,4.264967397747481e-05,125,,,,,,,,
4.253112033195021e-05,4.253112033195021e-05,126,,,,,,,,
4.241256668642561e-05,4.241256668642561e-05,127,,,,,,,,
4.2294013040901006e-05,4.2294013040901006e-05,128,,,,,,,,
,,111,64.76811218261719,77.7624282836914,35.77199172973633,64.84806823730469,0,,,
4.217545939537641e-05,4.217545939537641e-05,130,,,,,,,,
4.205690574985181e-05,4.205690574985181e-05,131,,,,,,,,
4.193835210432721e-05,4.193835210432721e-05,132,,,,,,,,
4.181979845880261e-05,4.181979845880261e-05,133,,,,,,,,
4.1701244813278014e-05,4.1701244813278014e-05,134,,,,,,,,
4.158269116775341e-05,4.158269116775341e-05,135,,,,,,,,
4.1464137522228815e-05,4.1464137522228815e-05,136,,,,,,,,
,,118,69.60570526123047,79.0745849609375,40.96786880493164,68.71546936035156,0,,,
4.1345583876704206e-05,4.1345583876704206e-05,138,,,,,,,,
4.122703023117961e-05,4.122703023117961e-05,139,,,,,,,,
4.110847658565501e-05,4.110847658565501e-05,140,,,,,,,,
4.098992294013041e-05,4.098992294013041e-05,141,,,,,,,,
4.087136929460581e-05,4.087136929460581e-05,142,,,,,,,,
4.0752815649081214e-05,4.0752815649081214e-05,143,,,,,,,,
4.063426200355661e-05,4.063426200355661e-05,144,,,,,,,,
,,125,76.48193359375,82.45856475830078,42.90065002441406,72.72099304199219,0,,,
4.051570835803201e-05,4.051570835803201e-05,146,,,,,,,,
4.039715471250741e-05,4.039715471250741e-05,147,,,,,,,,
4.027860106698281e-05,4.027860106698281e-05,148,,,,,,,,
4.0160047421458214e-05,4.0160047421458214e-05,149,,,,,,,,
4.004149377593361e-05,4.004149377593361e-05,150,,,,,,,,
3.9922940130409016e-05,3.9922940130409016e-05,151,,,,,,,,
3.980438648488441e-05,3.980438648488441e-05,152,,,,,,,,
,,132,61.97527313232422,79.14364624023438,42.295379638671875,70.3729248046875,0,,,
3.968583283935981e-05,3.968583283935981e-05,154,,,,,,,,
3.956727919383521e-05,3.956727919383521e-05,155,,,,,,,,
3.944872554831061e-05,3.944872554831061e-05,156,,,,,,,,
3.933017190278601e-05,3.933017190278601e-05,157,,,,,,,,
3.9211618257261414e-05,3.9211618257261414e-05,158,,,,,,,,
3.909306461173681e-05,3.909306461173681e-05,159,,,,,,,,
3.8974510966212216e-05,3.8974510966212216e-05,160,,,,,,,,
