lr_group_0,lr_group_1,step,valid-loss,valid-entity_macro_f1,valid-character_macro_f1,epoch,train-loss
4.997461284589998e-05,4.997461284589998e-05,0,,,,,
4.994922569179995e-05,4.994922569179995e-05,1,,,,,
4.9923838537699925e-05,4.9923838537699925e-05,2,,,,,
4.9898451383599906e-05,4.9898451383599906e-05,3,,,,,
4.9873064229499874e-05,4.9873064229499874e-05,4,,,,,
4.984767707539985e-05,4.984767707539985e-05,5,,,,,
4.982228992129982e-05,4.982228992129982e-05,6,,,,,
4.97969027671998e-05,4.97969027671998e-05,7,,,,,
4.977151561309977e-05,4.977151561309977e-05,8,,,,,
4.9746128458999746e-05,4.9746128458999746e-05,9,,,,,
4.972074130489972e-05,4.972074130489972e-05,10,,,,,
4.96953541507997e-05,4.96953541507997e-05,11,,,,,
4.9669966996699675e-05,4.9669966996699675e-05,12,,,,,
4.964457984259965e-05,4.964457984259965e-05,13,,,,,
4.9619192688499624e-05,4.9619192688499624e-05,14,,,,,
4.95938055343996e-05,4.95938055343996e-05,15,,,,,
4.956841838029957e-05,4.956841838029957e-05,16,,,,,
4.954303122619954e-05,4.954303122619954e-05,17,,,,,
4.951764407209952e-05,4.951764407209952e-05,18,,,,,
4.9492256917999495e-05,4.9492256917999495e-05,19,,,,,
4.946686976389947e-05,4.946686976389947e-05,20,,,,,
4.9441482609799444e-05,4.9441482609799444e-05,21,,,,,
4.941609545569942e-05,4.941609545569942e-05,22,,,,,
4.939070830159939e-05,4.939070830159939e-05,23,,,,,
4.936532114749937e-05,4.936532114749937e-05,24,,,,,
4.933993399339934e-05,4.933993399339934e-05,25,,,,,
4.931454683929932e-05,4.931454683929932e-05,26,,,,,
4.928915968519929e-05,4.928915968519929e-05,27,,,,,
4.9263772531099264e-05,4.9263772531099264e-05,28,,,,,
4.923838537699924e-05,4.923838537699924e-05,29,,,,,
4.921299822289921e-05,4.921299822289921e-05,30,,,,,
4.918761106879919e-05,4.918761106879919e-05,31,,,,,
,,31,0.229779914021492,52.337554931640625,72.45301818847656,0,
4.916222391469916e-05,4.916222391469916e-05,33,,,,,
4.9136836760599136e-05,4.9136836760599136e-05,34,,,,,
4.911144960649912e-05,4.911144960649912e-05,35,,,,,
4.908606245239909e-05,4.908606245239909e-05,36,,,,,
4.9060675298299066e-05,4.9060675298299066e-05,37,,,,,
4.903528814419904e-05,4.903528814419904e-05,38,,,,,
4.9009900990099014e-05,4.9009900990099014e-05,39,,,,,
4.898451383599899e-05,4.898451383599899e-05,40,,,,,
